"Station_Name","Coord_Sys(PROJCS,GEOGCS)","Datum(WGS84,NAD83,NAD27)","Lat/YCoord","Lon/XCoord","Height","Height_Units(meters,feet)","Speed","Speed_Units(mph,kph,mps,kts)","Direction(degrees)","Temperature","Temperature_Units(F,C)","Cloud_Cover(%)","Radius_of_Influence","Radius_of_Influence_Units(miles,feet,meters,km)","date_time"
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,4.12,mps,200,18,C,100,-1,km,2019-10-28T00:30:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,4.12,mps,200,18,C,100,-1,km,2019-10-28T00:35:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,4.63,mps,210,18,C,100,-1,km,2019-10-28T00:40:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,3.6,mps,190,18,C,100,-1,km,2019-10-28T00:45:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,3.6,mps,210,18,C,100,-1,km,2019-10-28T00:50:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,4.12,mps,210,17.8,C,100,-1,km,2019-10-28T00:51:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,3.09,mps,230,18,C,100,-1,km,2019-10-28T00:55:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,220,17,C,100,-1,km,2019-10-28T01:00:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,4.12,mps,210,18,C,100,-1,km,2019-10-28T01:05:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,230,17,C,100,-1,km,2019-10-28T01:10:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,230,17,C,100,-1,km,2019-10-28T01:15:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.06,mps,240,17,C,100,-1,km,2019-10-28T01:20:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,230,17,C,100,-1,km,2019-10-28T01:25:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,3.6,mps,210,17,C,100,-1,km,2019-10-28T01:30:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,3.09,mps,210,18,C,100,-1,km,2019-10-28T01:35:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.06,mps,240,18,C,100,-1,km,2019-10-28T01:40:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,240,17,C,100,-1,km,2019-10-28T01:45:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,250,17,C,100,-1,km,2019-10-28T01:50:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.57,mps,0,17.2,C,100,-1,km,2019-10-28T01:51:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,240,17,C,100,-1,km,2019-10-28T01:55:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,2.06,mps,260,17,C,100,-1,km,2019-10-28T02:00:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,240,17,C,0,-1,km,2019-10-28T02:05:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,240,17,C,0,-1,km,2019-10-28T02:10:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,260,17,C,0,-1,km,2019-10-28T02:15:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:20:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:25:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:30:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,260,17,C,0,-1,km,2019-10-28T02:35:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,240,17,C,0,-1,km,2019-10-28T02:40:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,220,17,C,0,-1,km,2019-10-28T02:45:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:50:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17.2,C,0,-1,km,2019-10-28T02:51:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T02:55:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:00:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:05:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,100,-1,km,2019-10-28T03:10:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,100,-1,km,2019-10-28T03:15:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:20:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:25:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:30:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:35:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:40:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:45:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:50:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,16.7,C,0,-1,km,2019-10-28T03:51:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T03:55:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T04:00:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T04:05:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,180,16,C,0,-1,km,2019-10-28T04:10:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,160,17,C,0,-1,km,2019-10-28T04:15:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T04:20:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,17,C,0,-1,km,2019-10-28T04:25:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,16,C,0,-1,km,2019-10-28T04:30:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,0,mps,0,16,C,0,-1,km,2019-10-28T04:35:00Z
KSMO,GEOGCS,WGS84,34.0158,-118.451,10,meters,1.54,mps,140,17,C,0,-1,km,2019-10-28T04:40:00Z
